zoneCover,eLength,catching,mPassAcc,agility,discipline,throwOnRun,passBlock,rushBlock,eSalary,releaseLine,iden,injuryProne,salary,dPassAcc,stamina,intelligence,jumping,routeRun,forename,potential,position,loyalty,surname,power,sPassAcc,length,growthType,ambition,ballSecurity,blockShedding,appearance,greed,draftNum,trucking,teamID,tackle,decisions,kickAccuracy,guarantee,eGuarantee,ballStrip,elusiveness,skillMove,age,manCover,burst,rating,draftSeason,vision,speed
80,1,58,6,89,93,6,35,35,1,20,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,28,760000,6,94,81,85,13,Ricardo,2,S,69,Allen,55,6,1,1,22,65,60,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",66,134,20,CIN,66,81,17,1,1,83,87,75,28,77,82,1,2013,71,80
18,1,1,69,80,66,74,17,16,1,19,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,10,750000,70,65,65,70,17,Brandon,7,QB,58,Allen,82,78,1,1,4,59,21,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",99,185,29,CIN,24,65,20,1,1,11,78,28,27,12,68,1,2015,46,62
18,1,1,84,85,40,94,14,17,1,18,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,3850000,87,84,86,90,17,Josh,9,QB,82,Allen,99,88,2,1,99,57,23,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",3,6,73,BUF,32,86,14,1,1,11,82,62,24,12,80,1,2017,78,77
60,1,43,6,92,90,6,35,35,1,20,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,30,750000,6,87,50,83,18,Brian,7,CB,86,Allen,70,6,1,1,70,59,49,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",85,156,27,CLE,47,50,17,1,1,68,84,65,26,64,88,1,2015,23,85
26,1,93,28,92,23,31,45,59,1,95,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,11920000,21,95,96,92,92,Keenan,12,WR,40,Allen,72,35,5,1,41,80,35,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",16,77,71,LAC,34,96,20,1,1,15,89,84,28,15,85,1,2012,94,82
46,1,17,6,75,17,6,49,50,1,28,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,1053333,6,77,72,78,25,Zach,8,DE,95,Allen,83,6,3,1,4,42,73,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",84,64,47,ARI,79,72,12,1,1,80,66,32,23,34,73,1,2018,57,57
60,1,55,6,83,48,6,45,45,1,44,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,666667,6,81,77,81,41,Josh,13,DE,14,Allen,82,6,3,1,98,67,73,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",74,6,51,JAX,83,77,17,1,1,82,72,48,23,52,80,1,2018,65,77
55,1,12,6,85,9,6,45,45,1,16,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,590000,6,88,51,83,10,Dakota,1,LB,10,Allen,73,6,1,1,44,44,69,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",1,228,49,JAX,80,51,20,1,1,81,71,51,24,49,77,1,2018,25,67
12,1,1,6,63,45,6,59,60,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,50,1,6,81,53,75,8,Dejon,1,OG,29,Allen,84,6,0,1,39,42,39,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",64,224,25,Free Agent,45,53,11,1,1,43,53,10,26,12,67,1,2017,28,55
27,1,1,30,62,94,20,14,15,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,10,1,25,80,53,65,15,Ryan,10,P,54,Allen,91,30,0,1,95,35,10,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",35,224,10,Free Agent,29,53,72,1,1,12,51,10,30,16,67,1,2012,28,50
24,1,1,6,73,24,6,53,60,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,22,1,6,66,73,76,8,Beau,4,DT,40,Allen,88,6,0,1,8,40,68,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",58,200,20,Free Agent,82,73,11,1,1,74,62,10,28,20,57,1,2013,58,32
29,1,1,6,72,92,6,45,45,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,38,2765000,6,75,91,74,5,Jonathan,14,DT,3,Allen,93,6,2,1,58,40,82,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",93,16,28,WAS,91,91,8,1,1,80,54,30,25,24,72,1,2016,86,53
18,1,1,80,75,51,75,17,16,1,19,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,18,680000,76,71,70,71,17,Kyle,1,QB,42,Allen,85,83,1,1,98,56,21,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",61,224,27,WAS,28,70,15,1,1,11,79,73,24,12,75,1,2017,54,70
14,1,1,6,58,86,6,71,72,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,1230000,6,82,68,67,8,Brian,11,C,10,Allen,83,6,2,1,7,27,19,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",68,106,20,LAR,31,68,15,1,1,20,47,10,24,12,58,1,2017,51,37
66,1,28,10,79,47,10,35,35,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,660000,10,91,62,88,13,Marcus,9,S,80,Allen,57,10,1,1,79,57,59,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",87,138,27,PIT,72,62,10,1,1,86,79,51,24,60,83,1,2017,42,75
21,1,72,10,83,23,10,35,58,1,77,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,750000,6,82,74,86,76,Geronimo,7,WR,58,Allison,68,15,1,1,7,72,35,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",11,224,61,DET,38,74,41,1,1,12,81,72,26,13,80,1,2015,60,78
64,1,60,6,82,17,6,45,45,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,1,6,96,74,75,7,Kiko,6,QB,63,Alonso,29,6,0,1,80,57,67,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",44,45,48,Free Agent,84,74,19,1,1,85,73,35,30,53,75,1,2012,60,67
29,1,1,6,69,61,6,45,45,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,880000,6,67,93,75,5,Tyson,12,DT,31,Alualu,87,6,2,1,42,35,82,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",98,9,22,PIT,85,93,30,1,1,84,62,10,33,21,70,1,2009,89,53
77,1,47,20,84,67,21,35,35,1,25,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,840000,17,87,66,82,27,Ugo,7,CB,62,Amadi,62,25,3,1,62,64,54,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",21,125,44,SEA,71,66,20,1,1,75,86,63,23,74,82,1,2018,48,80
20,1,78,33,86,71,10,24,58,1,80,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,1,32,93,86,76,82,Danny,4,WR,48,Amendola,52,36,0,1,51,73,35,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",10,224,44,Free Agent,25,86,24,1,1,15,81,80,34,14,82,1,2007,78,75
15,1,1,6,65,23,6,66,61,1,14,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,42,1,6,83,56,81,10,Kofi,1,OG,74,Amichia,89,6,0,1,40,22,20,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",83,187,24,Free Agent,30,56,25,1,1,35,48,14,26,12,70,1,2015,32,55
88,1,48,10,84,18,15,35,35,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,8000000,10,88,90,85,13,Adrian,1,S,30,Amos,72,15,3,1,52,65,66,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",84,133,40,GB,73,90,25,1,1,86,86,55,27,80,85,1,2014,85,87
75,1,42,6,89,11,6,35,35,1,35,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,1,6,92,85,89,11,Prince,10,CB,25,Amukamara,70,6,0,1,44,66,53,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",63,18,35,Free Agent,60,85,15,1,1,65,86,80,31,72,83,1,2010,77,82
40,1,1,6,73,14,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,30,825000,6,87,68,77,7,Bradlee,11,DE,97,Anae,79,6,4,1,43,36,64,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",54,161,32,DAL,73,68,18,1,1,79,67,28,22,27,75,1,2020,51,60
15,1,1,6,57,13,6,63,62,1,13,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,36,825000,6,89,66,63,8,Tremayne,12,C,47,Anchrum Jr,84,10,4,1,4,25,26,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",20,227,29,LAR,24,66,13,1,1,30,50,13,22,12,62,1,2020,48,40
15,1,1,6,73,25,6,61,61,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,590000,6,83,57,76,7,Calvin,1,OT,46,Anderson,83,6,1,1,25,33,15,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",2,224,31,DEN,30,57,22,1,1,44,58,19,24,12,67,1,2018,34,37
21,1,65,50,82,36,49,62,58,1,65,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,660000,39,81,54,89,61,Stephen,6,TE,35,Anderson,74,54,1,1,60,69,46,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",17,224,60,LAC,35,54,19,1,1,25,81,62,27,14,82,1,2015,29,73
65,1,30,6,77,77,6,45,56,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,26,760000,6,83,66,71,12,Ryan,12,DE,99,Anderson,82,6,1,1,87,55,63,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",94,48,43,NYG,84,66,15,1,1,83,66,41,26,56,73,1,2016,48,68
22,1,43,15,86,55,15,48,34,1,55,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,1,10,79,59,85,56,Rodney,1,RB,62,Anderson,76,20,0,1,30,89,29,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",51,198,77,Free Agent,31,59,16,1,1,29,82,68,23,15,83,1,2018,37,82
36,1,43,15,87,15,10,43,40,1,55,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,6,1,10,82,56,86,53,Jet,6,RB,37,Anderson,66,20,0,1,46,87,36,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",68,224,71,Free Agent,40,56,14,1,1,40,86,72,22,28,83,1,2020,32,77
17,1,38,16,78,5,16,48,30,1,46,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,28,1,10,83,56,76,45,Bruce,4,RB,88,Anderson,73,22,0,1,24,85,28,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",4,224,77,Free Agent,36,56,20,1,1,30,77,72,23,14,83,1,2018,32,77
25,1,87,10,84,91,10,35,45,1,87,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,70,4250000,6,85,92,86,88,Robby,8,WR,22,Anderson,59,15,2,1,90,76,26,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",84,224,46,CAR,21,92,11,1,1,12,85,77,27,20,87,1,2015,88,90
29,1,7,6,72,56,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,32,1790000,6,74,75,74,5,Henry,4,DE,94,Anderson,86,6,3,1,80,45,79,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",44,92,44,NE,85,75,25,1,1,76,63,10,29,25,70,1,2014,62,53
19,1,17,6,71,27,6,45,45,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,44,760000,6,68,46,74,10,Abdullah,6,DE,75,Anderson,90,6,1,1,56,35,64,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",15,224,35,PIT,79,46,14,1,1,81,58,10,24,11,68,1,2017,17,47
15,1,1,6,69,23,6,61,70,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,16,750000,6,87,57,73,7,Josh,5,C,5,Andrews,83,6,1,1,48,40,28,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",49,224,10,NYJ,35,57,25,1,1,55,51,10,29,12,68,1,2013,34,48
15,1,1,6,57,59,6,85,88,1,12,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,20,3590000,6,88,93,74,7,David,12,C,63,Andrews,87,6,3,1,11,22,40,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",27,224,26,NE,38,93,20,1,1,37,53,10,28,13,72,1,2014,89,45
15,1,77,10,80,72,10,53,65,1,79,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,24,1310000,5,94,96,88,81,Mark,1,TE,39,Andrews,79,15,2,1,97,72,28,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",16,85,71,BAL,27,96,10,1,1,25,75,68,24,12,83,1,2017,94,77
25,1,42,30,70,88,20,19,25,1,15,34A38A69-7292-400C-ACAE-6C6F70AFDE3A,10,760000,25,85,57,75,15,Bryan,6,P,21,Anger,95,30,1,1,34,60,17,"[""Head3"",""Eyes3"",""Hair4Black"",""Beard3Black""]",86,70,25,DAL,34,57,81,1,1,22,51,35,31,11,68,1,2011,34,50
