age,accelRating,newAccel,isActive,agilityRating,awareRating,newAware,bCVRating,birthDay,bigHitTrait,blockShedRating,birthMonth,breakSackRating,breakTackleRating,birthYear,college,clutchTrait,confRating,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,carryRating,contractSalary,contractYearsLeft,contractLength,catchRating,newCatch,cITRating,coverBallTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,durabilityGrade,dropOpenPassTrait,draftPick,draftPickNew,draftRound,draftRoundNew,draftNumber,oldDraftNumber,potential,desiredBonus,desiredSalary,desiredLength,devTrait,changeOfDirectionRating,fightForYardsTrait,firstName,finesseMovesRating,isFreeAgent,forcePassTrait,feetInBoundsTrait,height,highMotorTrait,hPCatchTrait,homeState,homeTown,hitPowerRating,impactBlockRating,injuryRating,injuryLength,intangibleGrade,injuryType,jukeMoveRating,jumpRating,jerseyNum,kickAccRating,kickPowerRating,kickRetRating,leadBlockRating,lBStyleTrait,legacyScore,lastName,manCoverRating,passBlockFinesseRating,passBlockPowerRating,playerBestOvr,physicalGrade,playActionRating,playBallTrait,playRecRating,penaltyTrait,productionGrade,predictTrait,presentationId,isOnPracticeSquad,pressRating,pursuitRating,passBlockRating,posCatchTrait,playerSchemeOvr,skillPoints,position,portraitId,powerMovesRating,qBStyleTrait,runBlockFinesseRating,runBlockPowerRating,rookieYear,releaseRating,runBlockRating,runStyle,rosterId,reSignStatus,routeRunDeepRating,routeRunMedRating,routeRunShortRating,,scheme,sizeGrade,sensePressureTrait,specCatchRating,speedRating,newSpeed,spinMoveRating,stripBallTrait,stiffArmRating,staminaRating,strengthRating,tackleRating,toughRating,tightSpiralTrait,throwAccRating,throwAccDeepRating,throwAccMidRating,throwAccShortRating,throwAwayTrait,throwPowerRating,throwOnRunRating,throwUnderPressureRating,teamId,truckRating,teamSchemeOvr,weight,experiencePoints,yACCatchTrait,yearsPro,zoneCoverRating,ability1,,ability2,ability3,ability4,ability5,,
25,86,77,TRUE,73,65,46,37,24,0,65,7,12,12,1995,Auburn,0,50,840000,660000,360000,360000,49,1520000,2,2,52,20,44,4,1,0,1,0,0,30,29,4,3,92,93,3,0,0,0,0,56,0,Montravius,62,FALSE,2,0,76,1,0,9,Vienna,79,84,94,0,67,97,24,72,94,6,8,10,14,0,0,Adams,24,45,45,67,80,6,1,67,1,0,0,12639,FALSE,22,78,45,0,67,0,LE,8464,67,0,45,45,2016,25,45,13,554041353,11,9,13,20,14,11,84,1,32,76,60,15,1,33,75,86,76,92,0,9,6,6,6,0,10,6,10,1012793400,38,67,305,2940,0,3,29,,NE,,,Def,,1012793400,NE
24,90,83,TRUE,87,87,80,55,17,1,69,10,20,25,1995,LSU,0,50,3590000,500000,12450000,23190000,60,5440000,2,5,71,52,52,2,0,0,0,0,0,7,6,2,1,5,6,21,0,0,0,3,88,0,Jamal,61,FALSE,2,0,73,1,0,42,Lewisville,95,75,94,0,87,97,65,81,33,25,25,35,26,2,2000,Adams,82,35,35,90,88,15,1,90,0,0,0,12524,FALSE,63,88,35,0,90,0,SS,8463,71,0,35,35,2016,12,35,3,554041349,11,20,25,35,27,20,98,1,61,91,85,55,1,40,93,78,77,84,0,25,10,10,15,0,25,15,17,1012793406,45,87,213,2447,0,3,90,Reinforcement,SEA,Enforcer,Flat Zone KO,Off,,1012793347,BUF
30,86,77,TRUE,82,78,66,63,24,0,59,1,15,44,1990,Central Michigan,0,50,750000,750000,0,0,62,750000,1,1,72,53,44,2,0,0,0,0,0,1,224,64,64,224,225,1,0,0,0,1,78,0,Jahleel,61,FALSE,2,0,70,1,0,8,Valrico,84,65,92,0,73,97,63,90,36,30,15,55,20,2,0,Addae,72,35,35,75,82,15,1,77,1,0,0,9919,FALSE,66,82,35,0,75,0,FS,6733,50,0,35,35,2020,20,35,1,554044117,0,10,10,20,13,11,75,1,62,83,72,54,0,46,89,62,71,82,0,29,10,10,15,0,25,15,16,1012793384,57,73,195,2180,0,7,75,,LAC,,,Off,,1012793401,LAS
23,90,83,TRUE,88,73,58,69,31,0,52,5,20,47,1997,Delaware,0,50,1080000,500000,1320000,1680000,63,3060000,3,4,73,55,55,3,0,0,0,0,0,29,28,3,2,59,60,16,0,0,0,0,84,0,Nasir,30,FALSE,2,0,72,1,0,37,Philadelphia,73,58,86,0,72,97,71,90,24,17,18,84,10,1,0,Adderley,67,34,33,73,84,6,2,70,1,0,0,20455,FALSE,70,70,30,0,73,0,FS,9360,24,1,34,33,2018,21,30,13,554041356,11,14,19,27,20,13,95,1,67,88,80,62,0,34,88,65,71,83,0,26,6,6,6,0,27,6,10,1012793384,53,72,206,5363,0,1,75,,LAC,,,,,1012793348,DEN
32,84,73,TRUE,81,84,75,42,6,0,70,9,12,15,1987,Troy,0,50,10000000,500000,13500000,13500000,54,16960000,3,3,42,3,39,4,0,1,1,0,0,0,224,64,64,224,225,1,0,0,0,0,68,0,Mario,80,FALSE,2,0,75,1,0,0,Birmingham,72,85,90,0,77,97,55,74,97,16,37,10,15,0,220,Addison,37,45,45,77,81,6,1,79,1,0,0,10984,FALSE,24,83,45,0,77,0,RE,5008,70,0,45,45,2010,25,45,5,554041357,11,24,30,40,31,14,98,1,37,79,65,55,1,49,73,76,81,80,0,19,6,6,6,0,36,6,15,1012793347,35,77,260,37890,0,9,49,,BUF,,,,,1012793384,LAC
22,93,88,TRUE,84,67,49,57,30,0,65,6,65,45,1998,Stanford,0,65,890000,490000,1600000,1600000,59,3040000,4,4,63,38,54,1,0,0,0,0,0,1,224,64,64,224,225,13,0,0,0,0,82,0,Paulson,26,FALSE,1,0,73,1,0,42,Mansfield,57,65,93,0,68,97,68,88,31,65,65,32,65,2,0,Adebo,69,65,65,68,87,65,2,63,2,0,1,347,FALSE,71,67,65,0,68,0,CB,3807,27,0,65,65,2020,65,65,1,554044364,11,65,65,30,53,11,97,2,53,88,80,57,0,31,95,48,63,91,0,65,65,65,65,0,65,65,65,1012793405,36,68,190,0,0,0,66,,NO,,,,,1012793385,KC
25,92,87,TRUE,89,50,23,72,26,0,22,5,22,72,1995,Ole Miss,0,50,0,0,0,0,72,0,0,0,75,58,73,4,0,0,0,0,1,0,224,64,64,224,225,3,0,1100000,1,0,87,0,Quincy,11,TRUE,2,0,75,1,0,42,Cedar Hill,20,42,88,0,62,97,74,83,19,22,23,62,22,1,0,Adeboyejo,16,19,21,62,89,15,1,15,1,0,0,12759,FALSE,16,35,35,0,62,0,WR,8466,11,0,12,21,2015,60,39,13,554041358,11,71,68,66,68,6,91,1,75,92,87,67,0,44,82,56,24,72,0,31,15,24,30,0,34,25,19,0,37,0,200,3991,1,3,24,,Free Agent,,,,,1012793396,DET
22,80,67,TRUE,43,72,57,10,8,0,30,12,12,11,1997,Kansas,0,50,660000,610000,200000,200000,40,3300000,4,4,25,1,10,4,0,0,0,0,0,2,1,7,6,160,161,16,0,0,0,0,45,0,Hakeem,23,FALSE,2,0,76,1,0,42,Garland,42,82,86,0,60,97,10,82,77,12,17,10,76,1,0,Adeniji,16,66,68,62,81,6,1,29,1,0,0,21108,FALSE,10,34,67,0,62,0,LT,67,31,0,65,68,2020,12,67,15,554041359,11,5,5,10,7,6,99,1,12,67,45,10,0,10,82,84,36,90,0,23,6,6,6,0,15,6,14,1012793346,10,60,302,0,0,0,11,,CIN,,,,,1012793398,GB
22,85,75,TRUE,80,57,34,32,12,0,62,9,12,21,1997,Toledo,0,50,660000,660000,0,0,49,1640000,1,3,45,8,15,4,0,0,1,0,0,0,224,64,64,224,225,2,0,0,0,0,70,0,Olasunkanmi,69,FALSE,2,0,73,1,0,42,Tichmond,80,73,83,0,64,97,40,77,92,12,14,10,17,2,0,Adeniyi,42,45,45,64,80,6,0,55,1,0,0,13280,FALSE,20,78,45,0,64,0,ROLB,8795,60,0,45,45,2017,30,45,3,554041360,0,5,5,15,8,14,75,1,31,78,63,58,0,35,77,79,74,80,0,19,6,6,6,0,25,6,16,1012793407,24,64,248,3061,0,2,49,,PIT,,,,,1012793410,MIN
24,87,78,TRUE,76,55,31,49,20,0,64,7,12,37,1996,Colgate,0,50,0,0,0,0,56,0,0,0,45,8,40,3,1,1,1,0,0,0,224,64,64,224,225,6,0,750000,1,0,63,0,Patrick,68,TRUE,2,0,74,1,0,6,Sandy Hook,76,74,84,0,63,97,48,80,96,12,15,10,22,0,0,Afriyie,29,45,45,63,80,6,0,51,1,0,0,13898,FALSE,20,76,45,0,63,0,RE,68,65,0,45,45,2017,25,45,3,554041361,11,20,26,33,26,12,97,1,39,79,65,43,0,29,75,71,75,82,0,12,6,6,6,0,21,6,17,0,43,0,240,1389,0,2,37,,Free Agent,,,,,1012793345,CHI
27,91,85,TRUE,93,80,69,85,24,0,25,5,27,83,1993,USC,0,50,3480000,2100000,4140000,4140000,74,8370000,3,3,80,67,83,4,0,0,0,0,1,21,20,2,1,19,20,7,0,0,0,0,85,1,Nelson,10,FALSE,2,1,72,1,0,50,Lagos,15,40,89,0,74,97,88,87,87,31,41,80,20,1,200,Agholor,18,10,10,79,89,19,1,24,1,0,0,2442,FALSE,10,26,24,1,79,0,WR,6985,10,0,30,36,2014,78,53,3,554041362,11,83,83,81,82,6,75,1,86,91,85,89,0,67,85,65,21,78,0,26,28,33,38,0,41,38,30,1012793400,51,74,198,11124,1,5,22,,NE,,,,,1012793390,ATL
22,81,68,TRUE,70,64,45,38,25,0,67,9,12,19,1997,Arkansas,0,50,820000,610000,850000,850000,40,3680000,4,4,36,1,25,4,1,1,1,0,0,32,31,4,3,94,95,1,0,0,0,0,61,0,McTelvin,68,FALSE,2,0,75,1,0,42,Texarkana,79,79,92,0,67,97,24,75,95,21,25,10,35,0,0,Agim,22,45,45,67,77,6,1,61,1,0,0,21118,FALSE,18,80,45,0,67,0,LE,69,72,0,45,45,2020,25,45,5,554041363,11,3,7,22,11,11,81,1,20,73,55,17,0,33,74,83,80,90,0,21,6,6,6,0,19,6,10,1012793348,41,67,309,787,0,0,31,,DEN,,,,,1012793399,CAR
25,91,85,TRUE,90,72,57,81,3,0,56,4,30,71,1995,San Diego,0,50,990000,740000,500000,500000,73,1700000,2,2,78,63,79,2,0,0,0,0,0,22,21,6,5,148,149,1,0,0,0,2,89,0,Jamal,32,FALSE,2,0,70,1,0,4,San Diego,70,49,87,0,64,97,84,86,81,17,19,94,23,1,0,Agnew,64,35,35,70,88,24,2,57,1,0,0,12838,FALSE,71,78,35,0,70,0,WR,9132,24,0,35,35,2016,70,47,8,554041364,11,70,68,71,70,11,79,1,77,93,88,77,0,57,90,60,63,74,0,24,30,35,40,0,49,25,30,1012793394,42,64,190,1409,0,3,62,Evasive,JAX,,,,,1012793405,NO
21,92,87,TRUE,84,68,51,76,29,0,30,12,24,77,1998,Washington,0,50,610000,0,0,0,85,610000,1,1,65,42,55,4,0,0,0,0,0,1,224,64,64,224,225,13,0,0,0,0,82,0,Salvon,12,FALSE,2,0,71,1,0,46,Kirkland,20,36,87,0,69,97,81,83,26,10,16,75,37,1,0,Ahmed,31,30,35,69,86,15,1,30,1,0,0,20930,FALSE,22,41,48,0,69,0,HB,70,10,0,23,19,2020,46,30,3,554044187,0,50,53,56,53,0,97,1,53,90,83,73,0,63,85,62,31,83,0,40,15,20,25,0,30,15,20,1012793388,61,69,197,0,0,0,27,,MIA,,,,,1012793350,TB
29,88,80,TRUE,81,67,49,65,19,0,47,6,11,51,1991,Liberty,0,50,0,0,0,0,66,0,0,0,61,35,44,3,0,0,0,0,0,26,25,5,4,120,121,7,0,940000,1,0,75,0,Walt,40,TRUE,2,0,73,0,0,32,Charlotte,69,57,93,0,65,97,72,84,39,25,25,50,17,1,0,Aikens,66,35,35,65,81,6,1,68,1,0,0,2041,FALSE,76,74,35,0,65,0,SS,6987,45,0,35,35,2013,30,35,8,554041365,11,10,15,25,17,13,98,1,60,88,80,65,0,29,89,58,59,72,0,35,6,6,6,0,35,6,15,0,30,0,208,4002,0,6,68,,Free Agent,,,,,1012793387,DAL
22,92,87,TRUE,91,81,71,89,17,0,50,3,28,80,1998,Arizona State,0,50,2280000,610000,10430000,10430000,72,2110000,4,4,86,77,79,3,0,0,0,0,1,26,25,2,1,24,25,10,0,0,0,1,87,1,Brandon,34,FALSE,2,0,72,1,0,27,Reno,50,45,92,0,76,97,84,95,11,13,19,80,29,1,0,Aiyuk,48,14,19,78,90,10,1,38,1,0,0,21069,FALSE,43,58,36,0,78,0,WR,71,29,2,32,28,2020,78,48,3,554041366,11,77,79,80,79,4,79,0,83,91,85,81,0,69,84,65,49,87,0,30,15,20,25,0,33,24,23,1012793344,62,76,200,1000,1,0,53,,SAN,,,,,1012793389,PHI
21,94,90,TRUE,93,76,63,82,22,0,26,6,40,80,1999,Florida State,0,50,1120000,610000,2430000,2430000,88,3730000,4,4,66,43,63,2,0,0,0,0,0,21,20,3,2,51,52,11,0,0,0,1,84,1,Cam,10,FALSE,2,0,70,1,0,23,Clinton,27,51,89,0,80,97,88,86,23,20,20,71,31,1,0,Akers,12,36,42,80,90,42,1,16,1,0,0,20919,FALSE,15,34,57,0,80,0,HB,72,10,1,28,31,2020,53,39,3,554041367,11,45,52,61,53,6,89,3,64,90,83,80,0,81,86,73,28,87,0,40,41,43,47,0,56,55,39,1012793402,80,80,217,300,0,0,16,,LAR,,,,,1012793392,NYG
24,88,80,TRUE,72,54,29,18,11,0,66,2,12,10,1996,Nebraska,0,50,0,0,0,0,28,0,0,0,34,1,24,3,1,0,0,0,0,0,224,64,64,224,225,8,0,680000,1,0,60,0,Freedom ,63,TRUE,2,0,75,1,0,24,Grandview,80,80,84,0,60,97,17,80,92,25,21,10,31,0,0,Akinmoladun,23,45,45,60,77,6,1,56,1,0,0,20763,FALSE,15,77,45,0,60,0,DT,0,69,0,45,45,2018,15,45,15,554041368,11,5,9,17,10,14,99,1,18,74,57,13,0,25,73,75,76,85,0,19,6,6,6,0,32,6,10,0,25,0,286,38,0,1,31,,Free Agent,,,,,1012793404,WAS
28,87,78,TRUE,74,77,65,73,19,0,25,4,29,71,1992,UCF,0,50,890000,700000,380000,760000,72,2560000,2,4,86,77,78,4,0,0,0,0,0,35,34,4,3,97,98,7,0,0,0,0,72,1,Jordan,20,FALSE,2,0,76,1,0,9,Atlanta,15,67,84,0,73,97,73,84,88,12,18,56,65,1,0,Akins,12,54,56,74,78,15,1,15,0,0,0,13327,FALSE,10,26,56,0,74,0,TE,8796,20,0,58,60,2017,64,59,3,554041369,11,67,66,68,67,3,94,1,77,83,72,70,0,71,83,76,28,80,0,20,22,27,36,0,45,30,22,1012793408,70,73,243,5417,1,2,14,,HOU,,,,,1012793344,SAN
23,87,78,TRUE,77,56,32,33,4,0,67,8,13,22,1997,FAU,0,50,590000,-20000,20000,70000,46,1690000,2,3,57,28,48,3,0,0,0,0,0,0,224,64,64,224,225,1,0,0,0,0,70,0,Azeez,51,FALSE,2,0,73,1,0,8,Tampa,83,71,80,0,58,97,31,80,51,20,16,10,17,2,0,Al-Shaair,48,45,45,64,79,6,1,58,1,0,0,20688,FALSE,47,80,45,0,64,1,ROLB,9361,56,0,45,45,2018,18,45,3,554041397,11,9,12,17,13,11,85,1,41,82,70,33,0,40,79,67,80,81,0,31,6,6,6,0,27,6,11,1012793344,37,58,228,1,0,1,55,,SAN,,,,,1012793402,LAR
24,89,82,FALSE,81,55,31,31,18,0,71,5,32,20,1996,Texas A&M,0,50,590000,0,10000,50000,60,1720000,2,3,53,22,55,4,0,0,0,0,0,0,224,64,64,224,225,1,0,0,0,0,70,0,Otaro,52,FALSE,2,0,75,1,0,42,Houston,80,77,87,0,61,66,44,86,50,12,14,10,17,2,0,Alaka,48,45,45,67,81,20,1,58,1,0,0,20446,FALSE,46,79,45,0,67,0,LOLB,9362,60,0,45,45,2018,25,45,3,554041370,11,5,7,15,9,15,99,1,35,80,67,35,0,39,85,75,81,85,0,27,30,35,40,0,25,15,30,1012793403,45,61,240,3109,0,1,56,,BAL,,,,,1012793406,SEA
29,89,82,TRUE,82,70,54,39,16,1,60,2,17,44,1991,Utah State,0,50,0,0,0,0,60,0,0,0,54,23,44,2,0,0,0,0,0,11,10,5,4,105,106,1,0,1320000,1,0,72,0,Maurice,57,TRUE,2,0,74,1,0,24,St. Louis,89,67,89,0,66,97,62,87,41,22,19,35,22,1,0,Alexander,59,35,35,66,84,6,1,72,0,0,0,2101,FALSE,68,78,35,0,66,0,MLB,6329,67,0,35,35,2013,25,35,5,554041376,11,10,10,20,13,14,99,1,64,87,78,52,0,29,91,71,75,74,0,23,6,6,6,0,21,6,13,0,49,0,220,1761,0,6,69,,Free Agent,,,,,1012793351,ARI
28,90,83,TRUE,82,68,51,42,30,0,57,9,12,29,1991,Oregon State,0,50,0,0,0,0,59,0,0,0,54,23,32,4,0,0,1,0,0,37,36,6,5,163,164,1,0,1170000,1,0,72,0,D.J.,61,TRUE,2,0,74,1,0,4,Palm Desert,76,79,81,0,66,97,62,82,57,19,17,10,19,2,0,Alexander,56,45,45,66,82,6,1,66,1,0,0,2643,FALSE,56,79,45,0,66,0,LOLB,7646,49,0,45,45,2014,15,45,1,554041372,11,5,5,15,8,13,95,1,35,86,77,55,0,50,79,69,78,68,0,25,6,6,6,0,25,6,15,0,42,0,233,6063,0,5,62,,Free Agent,,,,,0,Free Agent
26,90,83,TRUE,87,81,71,64,12,0,60,11,15,55,1993,Clemson,0,50,0,0,0,0,57,0,0,0,59,32,50,3,0,0,0,0,1,24,23,3,2,54,55,4,0,3380000,1,0,90,0,Mackensie,28,TRUE,2,0,70,1,0,8,Immokalee,60,45,88,0,79,97,71,88,21,17,18,70,15,1,100,Alexander,80,34,33,79,87,6,1,84,2,0,0,17553,FALSE,77,79,10,0,79,0,CB,7874,24,0,34,33,2015,27,16,8,554041375,11,11,16,26,18,11,99,1,60,89,82,69,0,29,90,59,64,73,0,26,6,6,6,0,27,6,12,0,28,0,192,7080,0,4,76,,Free Agent,,,,,,
23,90,83,TRUE,82,60,38,61,7,0,45,11,10,54,1996,Virginia Tech,0,50,0,0,0,0,59,0,0,0,67,45,50,2,0,0,0,0,0,2,1,7,6,160,161,1,0,1060000,1,0,82,0,Adonis,33,TRUE,2,0,75,0,0,32,Charlotte,50,53,85,0,64,97,73,83,36,13,18,35,13,1,0,Alexander,66,35,35,64,85,6,2,62,1,0,0,13372,FALSE,76,69,35,0,64,0,CB,9324,26,0,35,35,2016,22,35,13,554041371,11,10,17,21,16,11,95,1,61,87,78,66,0,31,89,61,55,83,0,35,6,6,6,0,21,6,11,0,25,0,207,2214,0,3,62,,Free Agent,,,,,,
